AIRPORT YEAR DOMESTIC* PUERTO_RICO CANADA BERMUDA_&_CARIBBEAN MEXICO LATIN_AMERICA** TRANS_ATLANTIC*** TRANS_PACIFIC**** TOTAL
JFK 2004 194,935 9,679 5,178 21,663 3,954 9,679 58,312 16,674 320,074
JFK 2005 219,672 10,570 6,604 20,814 4,142 10,093 60,385 17,668 349,948
JFK 2006 239,670 10,743 8,052 20,813 5,115 11,146 65,960 16,928 378,427
JFK 2007 293,130 9,828 8,285 23,424 7,558 12,092 72,271 17,166 443,754
JFK 2008 278,965 9,060 13,850 25,577 8,243 11,806 74,939 15,951 438,391
JFK 2009 263,832 8,972 11,289 29,220 7,228 11,854 68,822 14,069 415,286
JFK 2010 242,987 9,458 10,221 31,713 6,625 12,763 67,762 15,441 396,970
JFK 2011 249,977 9,526 11,871 31,942 5,441 13,207 70,700 16,074 408,738
JFK 2012 239,333 11,022 11,139 33,281 6,915 15,349 68,763 15,926 401,728
JFK 2013 236,981 11,350 11,065 35,851 8,902 15,409 70,167 16,373 406,098
JFK 2014 243,287 11,613 11,264 40,889 8,729 17,101 74,113 16,335 423,331
JFK 2015 254,012 11,008 10,931 41,205 10,645 16,608 77,706 17,191 439,306
JFK 2016 262,892 9,675 9,042 42,328 11,834 16,043 82,277 18,324 452,415
JFK 2017 260,124 7,915 8,953 42,338 14,568 13,588 81,778 18,584 447,848
EWR 2004 358,830 5,919 21,358 9,656 4,354 3,918 31,365 2,037 437,437
EWR 2005 354,556 5,424 21,084 8,909 4,474 4,075 34,716 3,003 436,241
EWR 2006 356,033 6,612 22,304 8,225 5,125 3,719 39,869 3,369 445,256
EWR 2007 342,280 5,193 22,536 8,849 4,688 3,908 45,259 3,217 435,930
EWR 2008 337,154 3,911 25,538 8,713 4,480 4,068 46,992 3,194 434,050
EWR 2009 316,516 3,173 30,200 8,534 4,649 3,699 41,476 3,574 411,821
EWR 2010 310,754 2,621 32,137 8,926 4,669 3,918 42,332 3,963 409,320
EWR 2011 310,180 1,835 32,486 8,703 4,770 3,529 44,682 3,839 410,024
EWR 2012 316,447 1,949 34,040 8,846 5,635 3,483 40,189 3,538 414,127
EWR 2013 319,009 1,967 33,346 8,181 5,631 3,634 38,586 3,388 413,742
EWR 2014 301,830 2,644 29,319 10,315 5,764 3,845 39,089 3,579 396,385
EWR 2015 320,641 3,126 27,896 10,572 5,560 4,228 38,171 3,514 413,708
EWR 2016 340,374 3,527 26,744 12,264 5,681 4,722 37,930 4,665 435,907
EWR 2017 342,865 2,601 26,800 11,850 6,193 4,525 38,468 5,276 438,578
LGA 2004 377,669 – 19,908 2,198 – – – – 399,775
LGA 2005 377,281 – 21,556 2,034 – – – – 400,871
LGA 2006 377,979 – 20,831 1,140 – – – – 399,950
LGA 2007 370,323 – 20,048 1,176 – – – – 391,547
LGA 2008 356,118 – 22,076 714 – – – – 378,908
LGA 2009 331,483 – 22,573 332 – – – – 354,388
LGA 2010 337,313 – 23,957 346 – – – – 361,616
LGA 2011 343,889 – 21,924 57 – – – – 365,870
LGA 2012 340,694 – 28,652 643 – – – – 369,989
LGA 2013 337,866 – 31,701 1,294 – – – – 370,861
LGA 2014 329,782 – 30,881 548 – – – – 361,211
LGA 2015 333,099 – 27,041 133 – – 1 – 360,274
LGA 2016 345,671 – 24,279 37 – – – – 369,987
LGA 2017 342,276 – 26,847 12 – – – – 369,135
SWF 2004 11,967 – 2 – 1 1 5 2 11,978
SWF 2005 11,708 – 3 – – 1 20 4 11,736
SWF 2006 83,149 – 35 2 1 – 31 – 83,218
SWF 2007 87,159 – – – – – 20 – 87,179
SWF 2008 72,635 – – – – – 8 – 72,643
SWF 2009 44,565 – – – – – 6 – 44,571
SWF 2010 47,047 – – – – – – – 47,047
SWF 2011 46,488 – – – – 41 1 – 46,530
SWF 2012 42,144 – – – – – 13 – 42,157
SWF 2013 38,883 – – – – – 22 – 38,905
SWF 2014 36,877 – – – – – 4 – 36,881
SWF 2015 37,821 – – – – – 11 – 37,832
SWF 2016 37,295 – – – – – – – 37,295
SWF 2017 33,777 – 2 – – – 1,008 – 34,787
