AIRPORT TYPE YEAR SCHEDULED_PASSENGER CHARTER_PASSENGER CARGO COMMUTER NON-REVENUE OTHER* TOTAL
JFK DOMESTIC 2004 141,019 197 8,933 44,025 1,706 8,734 204,614
JFK DOMESTIC 2005 150,258 204 8,193 59,973 1,728 9,886 230,242
JFK DOMESTIC 2006 166,970 217 7,419 64,971 1,180 9,656 250,413
JFK DOMESTIC 2007 192,606 215 7,586 91,600 1,297 9,654 302,958
JFK DOMESTIC 2008 187,501 50 6,820 83,428 1,605 8,621 288,025
JFK DOMESTIC 2009 177,208 30 5,723 81,302 1,398 7,143 272,804
JFK DOMESTIC 2010 168,811 39 5,942 68,726 1,184 7,743 252,445
JFK DOMESTIC 2011 171,153 25 5,588 73,405 1,234 8,098 259,503
JFK DOMESTIC 2012 175,552 22 5,363 58,939 755 9,724 250,355
JFK DOMESTIC 2013 175,688 18 5,397 57,105 461 9,662 248,331
JFK DOMESTIC 2014 179,490 673 5,701 58,334 356 10,346 254,900
JFK DOMESTIC 2015 193,729 21 5,850 53,509 394 11,517 265,020
JFK DOMESTIC 2016 195,585 61 5,947 58,091 499 12,384 272,567
JFK DOMESTIC 2017 187,071 67 5,948 61,387 470 13,096 268,039
JFK INTERNATIONAL 2004 94,219 1,378 15,027 3,726 1,110 – 115,460
JFK INTERNATIONAL 2005 97,527 1,266 14,380 5,209 1,324 – 119,706
JFK INTERNATIONAL 2006 106,491 1,023 13,417 5,814 1,269 – 128,014
JFK INTERNATIONAL 2007 118,233 1,823 13,311 6,231 1,198 – 140,796
JFK INTERNATIONAL 2008 125,785 488 10,926 11,964 1,203 – 150,366
JFK INTERNATIONAL 2009 123,444 171 7,839 10,503 525 – 142,482
JFK INTERNATIONAL 2010 124,710 188 9,387 9,714 526 – 144,525
JFK INTERNATIONAL 2011 127,323 182 9,668 11,742 320 – 149,235
JFK INTERNATIONAL 2012 130,864 691 8,539 11,127 152 – 151,373
JFK INTERNATIONAL 2013 138,646 103 8,016 10,866 136 – 157,767
JFK INTERNATIONAL 2014 150,636 191 6,973 10,518 113 – 168,431
