AIRPORT TYPE YEAR SCHEDULED CHARTER COMMUTER TOTAL
JFK DOMESTIC 2004 18,715,056 26,342 1,346,335 20,087,733
JFK DOMESTIC 2005 20,191,175 32,628 1,867,751 22,091,554
JFK DOMESTIC 2006 20,852,450 14,754 2,136,295 23,003,499
JFK DOMESTIC 2007 23,003,389 4,893 3,165,409 26,173,691
JFK DOMESTIC 2008 21,942,288 3,423 3,258,357 25,204,068
JFK DOMESTIC 2009 20,796,078 2,023 3,223,132 24,021,233
JFK DOMESTIC 2010 20,566,499 3,189 2,834,589 23,404,277
JFK DOMESTIC 2011 20,692,623 1,953 3,063,937 23,758,513
JFK DOMESTIC 2012 21,714,371 2,282 2,500,430 24,217,083
JFK DOMESTIC 2013 21,464,606 1,065 2,443,504 23,909,175
JFK DOMESTIC 2014 22,256,473 86,587 2,678,372 25,021,432
JFK DOMESTIC 2015 24,173,648 1,216 2,631,990 26,806,854
JFK DOMESTIC 2016 24,425,935 3,189 2,895,014 27,324,138
JFK DOMESTIC 2017 23,808,037 4,688 3,148,356 26,961,081
JFK INTERNATIONAL 2004 17,164,097 222,685 99,976 17,486,758
JFK INTERNATIONAL 2005 18,417,371 232,969 150,017 18,800,357
JFK INTERNATIONAL 2006 19,306,775 146,305 172,303 19,625,383
JFK INTERNATIONAL 2007 21,168,276 202,293 173,556 21,544,125
JFK INTERNATIONAL 2008 22,197,030 66,035 335,983 22,599,048
JFK INTERNATIONAL 2009 21,516,446 18,920 321,343 21,856,709
JFK INTERNATIONAL 2010 22,793,276 17,939 305,394 23,116,609
JFK INTERNATIONAL 2011 23,480,594 14,944 390,546 23,886,084
JFK INTERNATIONAL 2012 24,590,649 73,356 393,088 25,057,093
JFK INTERNATIONAL 2013 26,126,697 14,537 401,413 26,542,647
JFK INTERNATIONAL 2014 27,720,852 26,171 451,971 28,198,994
JFK INTERNATIONAL 2015 29,601,009 16,405 462,484 30,079,898
JFK INTERNATIONAL 2016 31,360,457 9,665 411,253 31,781,375
JFK INTERNATIONAL 2017 32,002,270 7,315 421,834 32,431,419
EWR DOMESTIC 2004 18,829,569 45,423 4,160,231 23,035,223
EWR DOMESTIC 2005 19,076,593 12,672 4,624,203 23,713,468
EWR DOMESTIC 2006 20,727,182 15,868 4,862,251 25,605,301
EWR DOMESTIC 2007 20,831,391 37,030 4,745,689 25,614,110
EWR DOMESTIC 2008 18,890,453 19,612 5,312,127 24,222,192
EWR DOMESTIC 2009 17,023,793 29,749 5,489,133 22,542,675
EWR DOMESTIC 2010 15,961,660 24,775 5,730,451 21,716,886
EWR DOMESTIC 2011 16,855,000 36,630 5,298,039 22,189,669
EWR DOMESTIC 2012 17,072,380 31,617 5,732,686 22,836,683
EWR DOMESTIC 2013 17,655,605 27,539 6,033,694 23,716,838
EWR DOMESTIC 2014 17,942,705 39,983 5,779,939 23,762,627
EWR DOMESTIC 2015 19,397,057 29,065 6,262,101 25,688,223
EWR DOMESTIC 2016 21,698,301 69,210 6,450,913 28,218,424
EWR DOMESTIC 2017 24,329,732 37,561 5,963,322 30,330,615
EWR INTERNATIONAL 2004 8,310,390 87,529 460,007 8,857,926
EWR INTERNATIONAL 2005 8,880,039 20,494 465,030 9,365,563
EWR INTERNATIONAL 2006 9,423,024 8,173 598,050 10,029,247
EWR INTERNATIONAL 2007 10,116,577 2,718 633,805 10,753,100
EWR INTERNATIONAL 2008 10,470,509 36,835 631,200 11,138,544
EWR INTERNATIONAL 2009 10,049,914 6,536 760,998 10,817,448
EWR INTERNATIONAL 2010 10,677,742 11,383 788,179 11,477,304
EWR INTERNATIONAL 2011 10,714,909 9,853 783,061 11,507,823
EWR INTERNATIONAL 2012 10,341,246 8,305 797,793 11,147,344
EWR INTERNATIONAL 2013 10,401,720 8,020 889,659 11,299,399
EWR INTERNATIONAL 2014 10,953,811 8,106 886,143 11,848,060
EWR INTERNATIONAL 2015 10,978,876 33,011 793,430 11,805,317
EWR INTERNATIONAL 2016 11,608,685 37,358 698,826 12,344,869
EWR INTERNATIONAL 2017 12,079,677 20,361 803,508 12,903,546
LGA DOMESTIC 2004 19,231,252 6,274 3,954,084 23,191,610
LGA DOMESTIC 2005 19,977,024 4,935 4,436,272 24,418,231
LGA DOMESTIC 2006 19,777,748 3,281 4,715,953 24,496,982
LGA DOMESTIC 2007 18,853,913 5,354 4,940,098 23,799,365
LGA DOMESTIC 2008 17,244,972 2,884 4,693,536 21,941,392
LGA DOMESTIC 2009 16,102,463 6,120 5,034,430 21,143,013
LGA DOMESTIC 2010 17,420,964 5,920 5,523,231 22,950,115
LGA DOMESTIC 2011 17,175,291 5,252 5,906,213 23,086,756
LGA DOMESTIC 2012 17,785,343 7,607 6,481,079 24,274,029
LGA DOMESTIC 2013 17,895,141 5,263 7,053,168 24,953,572
LGA DOMESTIC 2014 18,064,300 2,905 7,089,997 25,157,202
LGA DOMESTIC 2015 19,757,324 2,422 6,925,177 26,684,923
LGA DOMESTIC 2016 19,908,297 4,175 8,084,383 27,996,855
LGA DOMESTIC 2017 18,856,418 91,286 8,513,371 27,461,075
LGA INTERNATIONAL 2004 1,017,152 – 244,441 1,261,593
LGA INTERNATIONAL 2005 1,286,730 114 184,285 1,471,129
LGA INTERNATIONAL 2006 1,053,851 0 259,770 1,313,621
LGA INTERNATIONAL 2007 948,317 562 278,023 1,226,902
LGA INTERNATIONAL 2008 832,185 1,249 298,230 1,131,664
LGA INTERNATIONAL 2009 684,911 95 325,217 1,010,223
LGA INTERNATIONAL 2010 713,046 1,081 318,840 1,032,967
LGA INTERNATIONAL 2011 688,313 2,187 345,222 1,035,722
LGA INTERNATIONAL 2012 985,953 – 447,802 1,433,755
LGA INTERNATIONAL 2013 1,129,674 116 597,738 1,727,528
LGA INTERNATIONAL 2014 947,305 244 867,344 1,814,893
LGA INTERNATIONAL 2015 1,077,809 126 674,810 1,752,745
LGA INTERNATIONAL 2016 1,208,081 61 581,864 1,790,006
LGA INTERNATIONAL 2017 1,383,444 665 723,120 2,107,229
SWF DOMESTIC 2004 510,563 – – 510,563
SWF DOMESTIC 2005 398,214 – – 398,214
SWF DOMESTIC 2006 66,261 2,055 241,461 309,777
SWF DOMESTIC 2007 646,058 – 267,869 913,927
SWF DOMESTIC 2008 536,627 – 252,680 789,307
SWF DOMESTIC 2009 180,154 – 209,911 390,065
SWF DOMESTIC 2010 185,531 – 209,371 394,902
SWF DOMESTIC 2011 187,653 – 224,400 412,053
SWF DOMESTIC 2012 157,588 – 207,260 364,848
SWF DOMESTIC 2013 157,526 – 163,156 320,682
SWF DOMESTIC 2014 157,681 – 151,676 309,357
SWF DOMESTIC 2015 155,621 – 125,930 281,551
SWF DOMESTIC 2016 161,571 – 113,850 275,421
SWF DOMESTIC 2017 181,049 958 125,614 307,621
SWF INTERNATIONAL 2004 – – – –
SWF INTERNATIONAL 2005 6 – – 6
SWF INTERNATIONAL 2006 – 125 19 144
SWF INTERNATIONAL 2007 – – – –
SWF INTERNATIONAL 2008 – – – –
SWF INTERNATIONAL 2009 – – – –
SWF INTERNATIONAL 2010 – – – –
SWF INTERNATIONAL 2011 – 1,601 – 1,601
SWF INTERNATIONAL 2012 – – – –
SWF INTERNATIONAL 2013 – – – –
SWF INTERNATIONAL 2014 – – – –
SWF INTERNATIONAL 2015 – – – –
SWF INTERNATIONAL 2016 – – – –
SWF INTERNATIONAL 2017 141,077 – – 141,077
