Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
"International tourism, expenditures (current US$)",ST.INT.XPND.CD,Afghanistan,AFG,..,..,38000000,65000000,108000000,269000000,103000000,137000000,148000000,136000000,88000000,..
"International tourism, expenditures (current US$)",ST.INT.XPND.CD,Albania,ALB,..,290000000,1644000000,1693000000,1454000000,1678000000,1374000000,1567000000,1689000000,1311000000,1338000000,..
"International tourism, expenditures (current US$)",ST.INT.XPND.CD,Algeria,DZA,..,193000000,613000000,574000000,716000000,595000000,598000000,531000000,684000000,765000000,475100000,..
"International tourism, expenditures (current US$)",ST.INT.XPND.CD,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..
"International tourism, expenditures (current US$)",ST.INT.XPND.CD,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..
"International tourism, expenditures (current US$)",ST.INT.XPND.CD,Angola,AGO,..,146000000,447000000,270000000,275000000,323000000,288000000,316000000,505000000,389000000,823000000,..
"International tourism, expenditures (current US$)",ST.INT.XPND.CD,Antigua and Barbuda,ATG,..,31000000,58000000,54000000,51000000,49000000,49000000,50000000,66000000,70000000,75000000,..
"International tourism, expenditures (current US$)",ST.INT.XPND.CD,Argentina,ARG,..,5460000000,5987000000,5808000000,6448000000,7602000000,8466000000,8421000000,7837000000,9348000000,11729000000,..
"International tourism, expenditures (current US$)",ST.INT.XPND.CD,Armenia,ARM,..,56000000,494000000,496000000,641000000,756000000,874000000,1007000000,1101000000,1057000000,1119000000,..
"International tourism, expenditures (current US$)",ST.INT.XPND.CD,Aruba,ABW,..,163000000,272000000,264000000,261000000,287000000,294000000,342000000,350000000,357000000,332000000,..
"International tourism, expenditures (current US$)",ST.INT.XPND.CD,Australia,AUS,..,8780000000,25557000000,22680000000,27851000000,33967000000,35226000000,35197000000,32462000000,28614000000,29768000000,..
"International tourism, expenditures (current US$)",ST.INT.XPND.CD,Austria,AUT,..,7001000000,11432000000,10817000000,10122000000,10548000000,9991000000,10254000000,11091000000,9326000000,9770000000,..
"International tourism, expenditures (current US$)",ST.INT.XPND.CD,Azerbaijan,AZE,..,138000000,456000000,488000000,856000000,1778000000,2617000000,3032000000,3163000000,2743000000,2593000000,..
"International tourism, expenditures (current US$)",ST.INT.XPND.CD,"Bahamas, The",BHS,..,348000000,460000000,386000000,369000000,347000000,384000000,362000000,328000000,348000000,440000000,..
"International tourism, expenditures (current US$)",ST.INT.XPND.CD,Bahrain,BHR,..,425000000,704000000,597000000,684000000,899000000,889000000,873000000,864000000,..,..,..
"International tourism, expenditures (current US$)",ST.INT.XPND.CD,Bangladesh,BGD,..,471000000,708000000,661000000,852000000,819000000,889000000,1308000000,782000000,827000000,848000000,..
"International tourism, expenditures (current US$)",ST.INT.XPND.CD,Barbados,BRB,..,141000000,279000000,293000000,351000000,124000000,84000000,78000000,..,..,..,..
"International tourism, expenditures (current US$)",ST.INT.XPND.CD,Belarus,BLR,..,247000000,860000000,752000000,748000000,729000000,948000000,1333000000,1308000000,997000000,897000000,..
"International tourism, expenditures (current US$)",ST.INT.XPND.CD,Belgium,BEL,..,9429000000,19514000000,19045000000,18866000000,20658000000,22367000000,24511000000,26435000000,21109000000,21575000000,..
"International tourism, expenditures (current US$)",ST.INT.XPND.CD,Belize,BLZ,..,44000000,44000000,43000000,39000000,37000000,39000000,42000000,51000000,50000000,55000000,..
"International tourism, expenditures (current US$)",ST.INT.XPND.CD,Benin,BEN,..,50000000,102000000,88000000,91000000,81000000,96000000,39500000,54200000,141000000,..,..
"International tourism, expenditures (current US$)",ST.INT.XPND.CD,Bermuda,BMU,..,..,459000000,407000000,417000000,326000000,327000000,322000000,378000000,381000000,392000000,..
"International tourism, expenditures (current US$)",ST.INT.XPND.CD,Bhutan,BTN,..,..,65000000,34000000,43000000,58000000,69000000,67000000,45000000,44000000,52000000,..
"International tourism, expenditures (current US$)",ST.INT.XPND.CD,Bolivia,BOL,..,116000000,381000000,388000000,421000000,410000000,502000000,660000000,953000000,849000000,945000000,..
"International tourism, expenditures (current US$)",ST.INT.XPND.CD,Bosnia and Herzegovina,BIH,..,92000000,345000000,285000000,247000000,214000000,196000000,198000000,211000000,201000000,214000000,..
"International tourism, expenditures (current US$)",ST.INT.XPND.CD,Botswana,BWA,..,209000000,229700000,232450000,298500000,316480000,332000000,262200000,277000000,274400000,267000000,..
"International tourism, expenditures (current US$)",ST.INT.XPND.CD,Brazil,BRA,..,4548000000,13269000000,12897000000,18883000000,24608000000,26008000000,29286000000,29998000000,20356000000,17068000000,..
"International tourism, expenditures (current US$)",ST.INT.XPND.CD,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..
"International tourism, expenditures (current US$)",ST.INT.XPND.CD,Brunei Darussalam,BRN,..,..,459000000,477000000,..,..,591000000,624000000,616000000,459000000,499000000,..
"International tourism, expenditures (current US$)",ST.INT.XPND.CD,Bulgaria,BGR,..,764000000,2602000000,1955000000,975000000,1063000000,1096000000,1342000000,1459000000,1346000000,1636000000,..
"International tourism, expenditures (current US$)",ST.INT.XPND.CD,Burkina Faso,BFA,..,30000000,110000000,111000000,110000000,129000000,146000000,215000000,176000000,103000000,..,..
"International tourism, expenditures (current US$)",ST.INT.XPND.CD,Burundi,BDI,..,14000000,151000000,71000000,35000000,49000000,25000000,34000000,38000000,29000000,28000000,..
"International tourism, expenditures (current US$)",ST.INT.XPND.CD,Cabo Verde,CPV,..,41000000,143000000,145000000,138000000,142000000,135000000,127000000,115000000,109000000,75000000,..
"International tourism, expenditures (current US$)",ST.INT.XPND.CD,Cambodia,KHM,..,52000000,180000000,163000000,131000000,344000000,406000000,469000000,526000000,622000000,740000000,..
"International tourism, expenditures (current US$)",ST.INT.XPND.CD,Cameroon,CMR,..,241000000,563000000,476000000,265000000,622000000,668000000,795000000,830000000,742000000,..,..
"International tourism, expenditures (current US$)",ST.INT.XPND.CD,Canada,CAN,..,15125000000,33844000000,30065000000,36975000000,41234000000,43010000000,43092000000,41669000000,36364000000,29067000000,..
"International tourism, expenditures (current US$)",ST.INT.XPND.CD,Cayman Islands,CYM,..,..,130000000,120000000,129000000,145000000,160000000,171000000,153000000,161000000,..,..
"International tourism, expenditures (current US$)",ST.INT.XPND.CD,Central African Republic,CAF,..,33000000,56000000,61000000,67000000,68000000,69000000,69800000,..,..,..,..
"International tourism, expenditures (current US$)",ST.INT.XPND.CD,Chad,TCD,..,56000000,..,..,..,..,..,..,..,..,..,..
"International tourism, expenditures (current US$)",ST.INT.XPND.CD,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..
"International tourism, expenditures (current US$)",ST.INT.XPND.CD,Chile,CHL,..,904000000,1386000000,1511000000,1736000000,2085000000,2400000000,2499000000,2707000000,2517000000,2715000000,..
"International tourism, expenditures (current US$)",ST.INT.XPND.CD,China,CHN,..,14169000000,36157000000,43702000000,54880000000,72585000000,1.02E+11,1.29E+11,2.27E+11,2.50E+11,2.61E+11,..
"International tourism, expenditures (current US$)",ST.INT.XPND.CD,Colombia,COL,..,1452000000,2775000000,2801000000,3188000000,3631000000,4363000000,4485000000,5175000000,4822000000,4732000000,..
"International tourism, expenditures (current US$)",ST.INT.XPND.CD,Comoros,COM,..,..,31100000,30000000,33200000,37400000,36300000,..,..,..,..,..
"International tourism, expenditures (current US$)",ST.INT.XPND.CD,"Congo, Dem. Rep.",COD,..,..,127000000,121000000,150000000,298000000,108000000,170000000,283000000,127000000,60000000,..
"International tourism, expenditures (current US$)",ST.INT.XPND.CD,"Congo, Rep.",COG,..,59000000,217000000,549000000,312000000,327000000,308000000,360000000,435000000,..,..,..
"International tourism, expenditures (current US$)",ST.INT.XPND.CD,Costa Rica,CRI,..,551000000,718000000,462000000,533000000,620000000,647000000,649000000,657000000,898000000,1038000000,..
"International tourism, expenditures (current US$)",ST.INT.XPND.CD,Cote d'Ivoire,CIV,..,291000000,612000000,589000000,569000000,580000000,560000000,583000000,625000000,560000000,..,..
"International tourism, expenditures (current US$)",ST.INT.XPND.CD,Croatia,HRV,..,634000000,1167000000,1042000000,861000000,918000000,962000000,923000000,865000000,770000000,954000000,..
"International tourism, expenditures (current US$)",ST.INT.XPND.CD,Cuba,CUB,..,..,..,..,..,..,..,..,..,..,..,..
"International tourism, expenditures (current US$)",ST.INT.XPND.CD,Curacao,CUW,..,..,229000000,258000000,282000000,321000000,357000000,377000000,383000000,418000000,420000000,..
"International tourism, expenditures (current US$)",ST.INT.XPND.CD,Cyprus,CYP,..,533000000,1969000000,1740000000,1611000000,1730000000,1687000000,1621000000,1771000000,1439000000,1627000000,..
"International tourism, expenditures (current US$)",ST.INT.XPND.CD,Czech Republic,CZE,..,1276000000,5029000000,4336000000,4354000000,4876000000,4556000000,4698000000,5173000000,4819000000,4963000000,..
"International tourism, expenditures (current US$)",ST.INT.XPND.CD,Denmark,DNK,..,4669000000,9698000000,8968000000,9082000000,9840000000,9600000000,10072000000,10443000000,8918000000,9159000000,..
