faa_site_number,loc_id,airport_name,associated_city,state,region,ado,use,lat_dms,long_dms,lat_dd,long_dd,airport_ownership,part_139,npias_service_level,npias_hub_type,airport_control_tower,fuel,other_services,based_aircraft_total,total_operations
13487.*A,ACY,ATLANTIC CITY INTL,ATLANTIC CITY,NJ,AEA,HAR,PU,39-27-27.3000N,074-34-37.8000W,39.45758333,-74.57716667,PU,I C S 12/1974,Primary,Small,Y,100LLA    A++,CHTR,13,53506
14460.*A,WWD,CAPE MAY COUNTY,WILDWOOD,NJ,AEA,HAR,PU,39-00-30.1300N,074-54-30.6400W,39.00836944,-74.90851111,PU,,General Aviation,,N,100LLA,CHTR  INSTR  RNTL,43,30200
13966.*A,47N,CENTRAL JERSEY RGNL,MANVILLE,NJ,AEA,HAR,PU,40-31-28.0000N,074-35-53.9000W,40.52444444,-74.59830556,PR,,Reliever,,N,100LL,GLD  INSTR  RNTL,80,24300
13578.*A,CDW,ESSEX COUNTY,CALDWELL,NJ,AEA,HAR,PU,40-52-30.8000N,074-16-52.9000W,40.87522222,-74.28136111,PU,,Reliever,,Y,100LLA,AVNCS  CHTR  INSTR  RNTL  SALES,230,76266
14448.*A,4N1,GREENWOOD LAKE,WEST MILFORD,NJ,AEA,HAR,PU,41-07-42.2000N,074-20-47.5000W,41.12838889,-74.34652778,PU,,General Aviation,,N,100LLA,AVNCS  INSTR  RNTL  SALES,56,13939
13796.2*A,N81,HAMMONTON MUNI,HAMMONTON,NJ,AEA,HAR,PU,39-40-02.9000N,074-45-27.8000W,39.66747222,-74.75772222,PU,,General Aviation,,N,100LLA,GLD  INSTR  RNTL  SALES,22,19124
13890.*A,N12,LAKEWOOD,LAKEWOOD,NJ,AEA,HAR,PU,40-04-00.8000N,074-10-39.2000W,40.06688889,-74.17755556,PU,,General Aviation,,N,100LL,CHTR  INSTR  RNTL  SALES,57,16040
13911.*A,N07,LINCOLN PARK,LINCOLN PARK,NJ,AEA,HAR,PU,40-56-51.0880N,074-18-52.2050W,40.94752444,-74.31450139,PR,,Reliever,,N,100LLA,AVNCS  CHTR  INSTR  RNTL  SALES,88,30150
13914.*A,LDJ,LINDEN,LINDEN,NJ,AEA,HAR,PU,40-37-02.8000N,074-14-40.5000W,40.61744444,-74.24458333,PU,,Reliever,,N,100LLA,CHTR  INSTR  RNTL  SALES,48,53744
14010.*A,MIV,MILLVILLE MUNI,MILLVILLE,NJ,AEA,HAR,PU,39-22-04.1000N,075-04-20.0000W,39.36780556,-75.07222222,PU,,General Aviation,,N,100LLA,AVNCS  CHTR  INSTR  RNTL,34,64350
13524.*A,BLM,MONMOUTH EXECUTIVE,BELMAR/FARMINGDALE,NJ,AEA,HAR,PU,40-11-12.3000N,074-07-28.4000W,40.18675,-74.12455556,PR,,Reliever,,N,100LLA,AFRT  AVNCS  CHTR  INSTR  RNTL  SALES,67,57229
14031.*A,MMU,MORRISTOWN MUNI,MORRISTOWN,NJ,AEA,HAR,PU,40-47-57.6000N,074-24-53.6000W,40.79933333,-74.41488889,PU,,Reliever,,Y,100LLA    A+,CHTR  INSTR  RNTL,176,75331
14052.*A,EWR,NEWARK LIBERTY INTL,NEWARK,NJ,AEA,NYC,PU,40-41-32.9274N,074-10-07.2724W,40.69247983,-74.16868678,PU,I E S 05/1973,Primary,Large,Y,100LLA,AFRT  CARGO,1,441061
14109.*A,26N,OCEAN CITY MUNI,OCEAN CITY,NJ,AEA,HAR,PU,39-15-48.5250N,074-36-26.9150W,39.26347917,-74.60747639,PU,,General Aviation,,N,100LL,,14,20164
14353.1*A,MJX,OCEAN COUNTY,TOMS RIVER,NJ,AEA,HAR,PU,39-55-33.7500N,074-17-43.9200W,39.92604167,-74.29553333,PU,,General Aviation,,N,100LLA,AMB  AVNCS  INSTR  RNTL  SALES,71,31625
14215.*A,39N,PRINCETON,PRINCETON/ROCKY HILL,NJ,AEA,HAR,PU,40-23-56.7000N,074-39-32.4000W,40.39908333,-74.659,PR,,Reliever,,N,100LLA,AVNCS  CHTR  INSTR  RNTL  SALES,42,39421
14231.*A,N51,SOLBERG-HUNTERDON,READINGTON,NJ,AEA,HAR,PU,40-34-57.8800N,074-44-12.1800W,40.58274444,-74.73671667,PR,,Reliever,,N,100LLA,INSTR  RNTL  SALES,55,21486
14311.*A,SMQ,SOMERSET,SOMERVILLE,NJ,AEA,HAR,PU,40-37-33.5303N,074-40-12.1138W,40.62598064,-74.67003161,PR,,Reliever,,N,100LLA,CHTR  GLD  INSTR  RNTL  SALES,101,30339
14037.1*A,VAY,SOUTH JERSEY RGNL,MOUNT HOLLY,NJ,AEA,HAR,PU,39-56-34.4000N,074-50-44.7000W,39.94288889,-74.84575,PU,,Reliever,,N,100LLA,AMB  INSTR  RNTL,103,25443
14344.*A,FWN,SUSSEX,SUSSEX,NJ,AEA,HAR,PU,41-12-00.7440N,074-37-22.9820W,41.20020667,-74.62305056,PR,,Reliever,,N,100LLA,AVNCS  INSTR  PAJA  RNTL  SALES,70,19257
14349.*A,TEB,TETERBORO,TETERBORO,NJ,AEA,NYC,PU,40-51-00.4000N,074-03-39.0000W,40.85011111,-74.06083333,PU,IV A U 12/1973,Reliever,,Y,100LLA,AVNCS  CARGO  CHTR  SALES,123,178369
14366.*A,TTN,TRENTON MERCER,TRENTON,NJ,AEA,HAR,PU,40-16-36.1000N,074-48-48.5000W,40.27669444,-74.81347222,PU,I B S 10/1976,Primary,Non-Hub,Y,100LLA,CHTR  INSTR  RNTL  SALES,133,110146
14261.*A,N87,TRENTON-ROBBINSVILLE,ROBBINSVILLE,NJ,AEA,HAR,PU,40-12-50.2000N,074-36-06.4000W,40.21394444,-74.60177778,PR,,Reliever,,N,100LL,CHTR  INSTR  RNTL,33,23260
14466.*A,OBI,WOODBINE MUNI,WOODBINE,NJ,AEA,HAR,PU,39-13-08.9000N,074-47-41.1000W,39.21913889,-74.79475,PU,,General Aviation,,N,100LL,AMB  INSTR  RNTL,54,12375
16097.*A,SLK,ADIRONDACK RGNL,SARANAC LAKE,NY,AEA,NYC,PU,44-23-07.1090N,074-12-22.2505W,44.38530806,-74.20618069,PU,IV A S 11/2005,Commercial Service,,N,100LLA,CHTR,16,6386
14787.*A,9G3,AKRON,AKRON,NY,AEA,NYC,PU,43-01-15.9464N,078-28-57.4795W,43.02109622,-78.48263319,PR,,Reliever,,N,100LL,INSTR  RNTL,62,50900
14789.*A,ALB,ALBANY INTL,ALBANY,NY,AEA,NYC,PU,42-44-56.8000N,073-48-07.1000W,42.74911111,-73.80197222,PU,I C S 05/1973,Primary,Small,Y,100LLA,CARGO  INSTR  RNTL  SALES  SURV,86,64047
14865.*A,23N,BAYPORT AERODROME,BAYPORT,NY,AEA,NYC,PU,40-45-30.3530N,073-03-13.3950W,40.75843139,-73.05372083,PU,,General Aviation,,N,,INSTR,72,10250
16179.*A,HWV,BROOKHAVEN,SHIRLEY,NY,AEA,NYC,PU,40-49-19.0000N,072-52-00.9000W,40.82194444,-72.86691667,PU,,Reliever,,N,100LLA,CHTR  GLD  INSTR  RNTL  SALES  TOW,215,39378
14956.*A,9G0,BUFFALO AIRFIELD,BUFFALO,NY,AEA,NYC,PU,42-51-43.2110N,078-42-59.7070W,42.86200306,-78.71658528,PR,,Reliever,,N,100LL,AVNCS  CHTR  INSTR  RNTL  SALES,25,55000
14954.*A,BUF,BUFFALO NIAGARA INTL,BUFFALO,NY,AEA,NYC,PU,42-56-25.5000N,078-43-50.1000W,42.94041667,-78.73058333,PU,I C S 05/1973,Primary,Medium,Y,100LLA,AFRT  AMB  AVNCS  CARGO  CHTR  INSTR  RNTL  SALES  SURV,26,97605
15548.1*A,BQR,BUFFALO-LANCASTER RGNL,LANCASTER,NY,AEA,NYC,PU,42-55-19.4000N,078-36-43.1000W,42.92205556,-78.61197222,PR,,Reliever,,N,100LLA1,AFRT  INSTR  RNTL  SURV,71,45000
14978.1*A,IUA,CANANDAIGUA,CANANDAIGUA,NY,AEA,NYC,PU,42-54-32.0468N,077-19-30.8146W,42.90890189,-77.32522628,PU,,Reliever,,N,100LLA+,INSTR  RNTL,54,21600
15857.1*A,OLE,CATTARAUGUS COUNTY-OLEAN,OLEAN,NY,AEA,NYC,PU,42-14-28.3000N,078-22-16.9000W,42.24119444,-78.37136111,PU,,General Aviation,,N,100LLA+,,17,25550
15157.*A,DKK,CHAUTAUQUA COUNTY/DUNKIRK,DUNKIRK,NY,AEA,NYC,PU,42-29-38.2000N,079-16-16.0000W,42.49394444,-79.27111111,PU,,General Aviation,,N,100LLA    A+,AFRT  CHTR  INSTR  RNTL  SALES  SURV,40,26005
